"type","count","disk_space"
".pack","3","87817467"
".md","390","10500023"
"[noext]","1549","5460873"
".pdf","3","2782915"
".lock","9","1697982"
".pyc","100","1543790"
".idx","3","1318824"
".py","167","1220707"
".ts","189","1202556"
".png","5","857113"
".json","63","715888"
".dll","9","428544"
".exe","2","324608"
".jpg","1","286724"
".rev","3","188100"
".ps1","35","171021"
".txt","15","142746"
".pdb","5","126992"
".sample","68","123967"
".cs","31","113092"
".yaml","47","68147"
".yml","15","60918"
".xaml","2","20159"
".gitignore","9","18597"
".csv","8","12439"
".jsonl","3","11202"
".toml","10","10311"
".resources","1","9689"
".log","3","7897"
".editorconfig","9","7776"
".cache","25","4632"
".props","3","3906"
".cmd","1","896"
".code-workspace","2","634"
".csproj","2","626"
".targets","3","450"
".npmrc","3","306"
".tag","1","191"
".slnx","1","165"
".gitkeep","1","155"
".gitattributes","3","129"
".prettierignore","3","123"
".lref","1","75"
".python-version","9","54"
".up2date","1","0"
".typed","3","0"
